How many continents are there on Earth?,7
In what year did World War II end?,1945
In what year did the Titanic sink?,1912
How many days are in a week?,7
What is the speed of light in meters per second?,299792458
How many Oscars did the film "Titanic" win?,11
How many colors are there in a rainbow?,7
How many centimeters are in a meter?,100
How many feet are in a mile?,5280
How many liters are in a gallon?,4
In what year did the Berlin Wall fall?,1989
How many chromosomes do humans have?,46
How many degrees are in a circle?,360
How many teeth does an adult human have?,32
In what year did Columbus reach the Americas?,1492
How many Earths could fit inside the sun?,1300000
How many bones are in the adult human body?,206
In what year did the Apollo 11 mission land on the moon?,1969
How many ounces are in a pound?,16
How many planets are there in our solar system?,8
How many strings does a violin have?,4
How many innings are there in a standard baseball game?,9
How many chambers are there in the human heart?,4
How many keys are on a standard piano?,88
How many years are in a decade?,10
What is the speed limit on most residential roads in the United States?,25
How many feet are in a meter?,3.28
How many stars are on the flag of the United States?,50
In what year did the Great Depression begin?,1929
How many eyes does a honeybee have?,5
How many syllables are in the word "elephant"?,3
In what year did the Cold War end?,1991
How many degrees are in a right angle?,90
How many cards are there in a standard deck of playing cards?,52
How many protons are in a carbon atom?,6
What is the speed of a cheetah in miles per hour?,70
In what year did the first manned moon landing occur?,1969
How many seconds are in an hour?,3600
How many toes does a human have?,10
How many centimeters are in a kilometer?,100000
In what year did the Renaissance begin?,14
How many pounds are in a ton?,2000
How many protons are in an oxygen atom?,8
How many decades are in a century?,10
How many degrees are in a right triangle?,90
What is the speed of a commercial jet in miles per hour?,550
In what year did the Industrial Revolution begin?,18
How many protons are in a nitrogen atom?,7
How many legs does a spider have?,8
How many strings does a guitar have?,6
In what year did the American Civil War end?,1865
How many keys are on a standard computer keyboard?,104
How many innings are there in a standard cricket match?,2
How many degrees are in a hexagon?,120
How many pints are in a gallon?,8
How many legs does a cat have?,4
In what year was the Magna Carta signed?,1215
How many protons are in a helium atom?,2
How many chambers are there in the human brain?,4
In what year did the Vietnam War end?,1975
How many teeth does an adult human have on average?,32
How many feet are in a yard?,3
How many protons are in a uranium atom?,92
How many sides does a pentagon have?,5
In what year did the first modern Olympic Games take place?,1896
What is the boiling point of nitrogen at atmospheric pressure (in Kelvin)?,77.36
What is the absolute zero temperature in Celsius?,-273.15
What is the speed of sound in air at 20 degrees Celsius (in meters per second)?,343
What is the molar mass of one mole of carbon-12 (in grams per mole)?,12.011
What is the standard electrode potential for the reduction of oxygen to water (in volts)?,1.23
What is the coordination number of an atom in a body-centered cubic (BCC) crystal lattice?,8
What is the enthalpy change for the combustion of methane (in kilojoules per mole)?,-890.3
What is the pH of a 0.001 M hydrochloric acid solution?,3
What is the Avogadro's number for molecules (molecules per mole)?,6.02214076e23
What is the ionization energy of helium (in electron volts)?,24.587
What is the oxidation state of chlorine in perchlorate (ClO4-) ion?,+7
What is the heat of fusion for water (in joules per gram)?,334
What is the time complexity of the quicksort algorithm (in big O notation)?,O(n log n)
What is the Shannon entropy of a fair six-sided die (in bits)?,2.58496
What is the maximum number of IP addresses in an IPv6 subnet?,2^64
What is the minimum number of bits required to represent 1024 unique values?,10
What was the estimated population of the Roman Empire at its height (in millions)?,50 to 90 million
In what year did the Battle of Cannae take place during the Second Punic War?,216 BCE
How many articles are there in the United States Constitution?,7
During the Cuban Missile Crisis, how many days did the standoff between the U.S. and the Soviet Union last?,13
What percentage of the world's population is estimated to have been killed during the Black Death in the 14th century?,25% to 60%
How many voyages did Christopher Columbus make to the Americas?,4
What was the estimated global death toll of World War II (in millions)?,70 to 85 million
In what year did the Great Fire of London occur?,1666
How many articles were there in the Treaty of Versailles that officially ended World War I?,440
What is the approximate length of the Great Wall of China (in kilometers)?,21,196
In what year did the construction of the Taj Mahal begin?,1632
How many days did the Siege of Leningrad last during World War II?,872
What was the total number of casualties (killed, wounded, missing) during the Battle of Gettysburg in the American Civil War?,46,000 to 51,000
What year did the Spanish Armada attempt to invade England?,1588
How many years did the Hundred Years' War between England and France actually last?,116 years (1337 to 1453)
What was the population of the world in the year 1 CE (estimated)?,170 million
In what year did the Berlin Airlift take place during the Cold War?,1948
How many years did Nelson Mandela spend in prison before his release in 1990?,27
What is the number of electoral votes needed to win the U.S. presidential election?,270
How many days did the Cuban Revolution last (from the landing of the Granma to the capture of Havana)?,2 years and 5 months
What was the length of the Silk Road (in kilometers)?,Over 6,400
In what year did the Battle of Marathon take place during the Greco-Persian Wars?,490 BCE
How many people were estimated to have died during the Spanish Flu pandemic (1918-1919)?,50 million
What is the estimated number of Jews killed during the Holocaust?,6 million
How many ships were in the Spanish Armada during its attempted invasion of England?,130
What is the number of states that initially formed the Confederate States of America during the American Civil War?,11
What is the approximate number of people who died during the Cultural Revolution in China (1966-1976)?,1.5 million to 2 million
How many years did the Vietnam War last?,19 years (1955 to 1975)
What is the number of amendments in the current U.S. Constitution (as of the last update)?,27
What is the speed of light in a vacuum (in meters per second)?,299,792,458
How many bones are in the adult human body?,206
What is the melting point of tungsten (in degrees Celsius)?,3,422
In what year did the Apollo 11 mission successfully land on the moon?,1969
What is the diameter of Earth (in kilometers)?,12,742
How many chromosomes are found in a human cell (excluding gametes)?,46
